strategy,category,split,CAGR,Sharpe,Sortino,Max Drawdown,Profit Factor,Win Rate,Average Trade,Number of Trades,Exposure,Total Return
MA 20/120 trend,Trend Following,train_2018_2022,-0.35342950713200516,-0.020951929590407377,-0.024704765136828066,-0.9429060128231931,0.9961338740926481,0.39211391018619934,-0.0009284541068827777,51.69563492063492,0.7606790799561884,-0.8869660168200382
MA 20/120 trend,Trend Following,validation_2023,1.0369470635837814,1.659137966608079,2.7403126053105593,-0.3152220089616927,1.2745174368898409,0.5315068493150685,0.04275570144998714,9.788095238095238,1.0,1.0359553883111232
MA 20/120 trend,Trend Following,test_2024_2025,0.21995375498579972,0.6321692788857161,0.8693888147633687,-0.4565899953810715,1.1017073331254805,0.46785225718194257,0.022312006073059287,16.659920634920635,0.9233926128590971,0.48869227181039343
Donchian breakout 55,Trend Following,train_2018_2022,-0.3631597486339989,-0.04021765562687182,-0.04697394526975887,-0.9357492929396932,0.992991450393552,0.4134720700985761,-0.0020022627237627332,45.14325396825397,0.8105147864184009,-0.8952180058834802
Donchian breakout 55,Trend Following,validation_2023,0.8227318072772092,1.4614829218365664,2.3670225843441277,-0.3772053819993132,1.2393997265119632,0.5123287671232877,0.030290936198228403,11.88531746031746,0.9917808219178083,0.8219829863280381
Donchian breakout 55,Trend Following,test_2024_2025,-0.04324537030636422,0.22548247484499429,0.3096627225362186,-0.6829884135220718,1.0333814154721475,0.49794801641586867,0.008027969072197653,16.724603174603175,0.9726402188782489,-0.08467597371103364
TSMOM 90,Trend Following,train_2018_2022,-0.46254316188271427,-0.23775215204544525,-0.2831384497693857,-0.9686311547687659,0.9595567558305486,0.40744797371303393,-0.003325152332994765,159.7547619047619,0.8039430449069004,-0.9551355307999678
TSMOM 90,Trend Following,validation_2023,0.5305980123357485,1.1422867817091684,1.696741138066646,-0.4890075517606659,1.1718620821820922,0.536986301369863,0.007060680007052447,37.949603174603176,0.9972602739726028,0.5301521415754757
TSMOM 90,Trend Following,test_2024_2025,-0.059989021909815254,0.1763536984569516,0.23399930277660716,-0.6537217386075218,1.026725453168371,0.46785225718194257,0.0014508120462374695,68.90595238095237,0.9370725034199726,-0.11645418892699677
XSMOM top 10%,Cross-Sectional Momentum,train_2018_2022,-0.41163534380683275,0.25082025981815503,0.4279179574246794,-0.9689328758588363,1.0445313504107616,0.4759036144578313,0.005205234479957058,169.0,1.0,-0.9294672934340794
XSMOM top 10%,Cross-Sectional Momentum,validation_2023,0.703480003569497,1.0811782152942118,1.748139783636127,-0.5925845391836287,1.1688984576027162,0.4931506849315068,0.020333287517694282,20.0,1.0,0.7028590365730902
XSMOM top 10%,Cross-Sectional Momentum,test_2024_2025,0.20339276831091535,0.6311768352391536,1.0717997798374994,-0.6039215444002719,1.0981277098787092,0.49247606019151846,0.007050421657800169,75.0,1.0,0.44852123531474564
Low volatility carry,Volatility Regimes,train_2018_2022,-0.28722074239836215,-0.0008696608596578741,-0.001114587565498767,-0.9533620669071186,0.9998642701009788,0.5104052573932092,-1.3507697460987944e-05,130.5,1.0,-0.8159753877139643
Low volatility carry,Volatility Regimes,validation_2023,0.9584722961699603,1.8175735361842231,2.6207001601226088,-0.19068414995277838,1.3209494405956683,0.5397260273972603,0.012651365950520556,30.0,1.0,0.9575714657640872
Low volatility carry,Volatility Regimes,test_2024_2025,0.21403810540665447,0.6825277443596707,0.9877250131660067,-0.3173976157525661,1.1040381493262044,0.518467852257182,0.007764583129643359,35.5,1.0,0.474279899473419
TSMOM 90 + low-vol filter,Volatility Regimes,train_2018_2022,-0.4059653632404281,-0.3195682023807278,-0.32474693309286373,-0.9524416427483049,0.942041136986079,0.3488499452354874,-0.003260192486455255,180.48333333333335,0.6714129244249726,-0.9260030772519829
TSMOM 90 + low-vol filter,Volatility Regimes,validation_2023,0.5661480689631997,1.2979622263425994,1.8472461346475635,-0.31706466628966956,1.2124919580165896,0.5287671232876713,0.005672004857991851,46.96666666666667,0.9534246575342465,0.5656672365556048
TSMOM 90 + low-vol filter,Volatility Regimes,test_2024_2025,0.3419228266446581,0.8426782202489387,1.1187111482735475,-0.38562956432961604,1.1433879149035164,0.4719562243502052,0.006041181290157074,68.83333333333334,0.8878248974008208,0.8014820137791683
Persistent low volatility 150/25,Volatility Regimes,train_2018_2022,0.2110056560991147,0.6433473593145901,0.8628064181336079,-0.8538398999624409,1.103754712540458,0.5213581599123768,0.03498014541846399,36.5,1.0,1.6041976779344815
Persistent low volatility 150/25,Volatility Regimes,validation_2023,1.061675622499362,2.035847270316387,2.884800980816542,-0.18223493959831294,1.353775101640366,0.5616438356164384,0.03204489562522362,12.5,1.0,1.0606548885362836
Persistent low volatility 150/25,Volatility Regimes,test_2024_2025,0.9040120763501203,1.4018471298946031,2.8840098347759695,-0.2682561469794599,1.3093518353929716,0.5362517099863201,0.06786855281938768,11.5,1.0,2.6284592009722223
TSMOM 60 + persistent low-vol gate,Volatility Regimes,train_2018_2022,-0.05898822648238744,0.27334947794823883,0.26483050399506036,-0.8641104692559612,1.05627409108095,0.32146768893756844,0.0026540817870614438,176.91666666666666,0.6122672508214677,-0.2621070534329203
TSMOM 60 + persistent low-vol gate,Volatility Regimes,validation_2023,0.9883553829402167,1.7778798380449266,3.0574300453447667,-0.17273872432193937,1.3490120012432054,0.5013698630136987,0.010619081203569317,36.75,0.936986301369863,0.9874202078039889
TSMOM 60 + persistent low-vol gate,Volatility Regimes,test_2024_2025,0.5924848266596197,1.259314943217559,1.7893318743047133,-0.32199020507714804,1.25104965819179,0.43502051983584133,0.008028931489023049,70.08333333333333,0.7961696306429549,1.5376237604575018
XSMOM 180 top 10%,Cross-Sectional Momentum,train_2018_2022,-0.4769786442792334,0.14714386210014319,0.2438958458157522,-0.9820378189627147,1.0267019186848219,0.47371303395399783,0.003913943696376467,130.0,1.0,-0.9608447705328366
XSMOM 180 top 10%,Cross-Sectional Momentum,validation_2023,1.0044350357685863,1.3388893298985205,2.056360176242912,-0.48070403121426775,1.2260813229413894,0.4821917808219178,0.03359698936956188,14.0,1.0,1.003481252877025
XSMOM 180 top 10%,Cross-Sectional Momentum,test_2024_2025,0.6338068238811634,0.9817722252258168,1.6648477023222321,-0.5616671423279618,1.1604024673008877,0.5034199726402189,0.02243910510804835,40.0,1.0,1.6711191881397944
TSMOM 90 gated by BTC 200MA,Market Regime Detection,train_2018_2022,-0.09338160281893548,0.14388460894215338,0.11663742630663457,-0.878432561783194,1.0333511764016539,0.22562979189485213,0.0036313316400317023,59.11031746031746,0.4194961664841183,-0.3874355640393039
TSMOM 90 gated by BTC 200MA,Market Regime Detection,validation_2023,0.32729294398305475,0.8703948840622799,1.1442129597063901,-0.3895359301766229,1.1461592859770806,0.4273972602739726,0.0060984651073774316,30.916269841269845,0.8054794520547945,0.3270357398182109
TSMOM 90 gated by BTC 200MA,Market Regime Detection,test_2024_2025,0.010330394495764006,0.2879827043998433,0.34626944140660715,-0.5842150593016878,1.0491851822154614,0.3761969904240766,0.0028137935576061928,54.62023809523809,0.7482900136798906,0.020781867315615488
Alt relative strength top 10%,Relative Strength,train_2018_2022,-0.43094994692404875,0.24620710007396338,0.42280278605502036,-0.9832330763019509,1.0433326269808343,0.4715224534501643,0.0054917267310449535,160.0,1.0,-0.9403074775681286
Alt relative strength top 10%,Relative Strength,validation_2023,0.5354374606392291,0.9416383059387693,1.535102974866425,-0.6327485911139352,1.1447577068339876,0.5013698630136987,0.011896133799877574,30.0,1.0,0.5349868634408586
Alt relative strength top 10%,Relative Strength,test_2024_2025,0.16287861316074026,0.5912599538874056,0.9976332388270134,-0.6301591896824649,1.0916096753724087,0.49247606019151846,0.00671661854170386,74.0,1.0,0.35256603800828
